requested_procedure_id,procedure_name,modality,aws_mapping_key,notes
TE-002,ABDOMEN,DR,Requested Procedure ID,Mapear body part/procedure no AWS
TE-003,ACROMIO,DR,Requested Procedure ID,Mapear body part/procedure no AWS
TE-004,ADENOIDE,DR,Requested Procedure ID,Mapear body part/procedure no AWS
TE-005,ANTE-PE,DR,Requested Procedure ID,Mapear body part/procedure no AWS
TE-006,ANTEBRAÇO,DR,Requested Procedure ID,Mapear body part/procedure no AWS
TE-007,ARCOS COSTAIS,DR,Requested Procedure ID,Mapear body part/procedure no AWS
TE-008,ARCOS ZIGOMÁTICOS,DR,Requested Procedure ID,Mapear body part/procedure no AWS
TE-009,ARTICULAÇÃO ACROMIOCLAVICULAR,DR,Requested Procedure ID,Mapear body part/procedure no AWS
TE-010,ARTICULAÇÃO ACROMIOCLAVICULAR,DR,Requested Procedure ID,Mapear body part/procedure no AWS
TE-011,ARTICULAÇÃO COXOFEMORAL,DR,Requested Procedure ID,Mapear body part/procedure no AWS
TE-012,ARTICULAÇÃO ESCAPULO-UMERAL,DR,Requested Procedure ID,Mapear body part/procedure no AWS
TE-013,ARTICULAÇÃO ESTERNOCLAVICULAR,DR,Requested Procedure ID,Mapear body part/procedure no AWS
TE-014,ARTICULAÇÃO SACROILÍACA,DR,Requested Procedure ID,Mapear body part/procedure no AWS
TE-015,ATM,DR,Requested Procedure ID,Mapear body part/procedure no AWS
TE-016,BACIA,DR,Requested Procedure ID,Mapear body part/procedure no AWS
TE-017,BACIA PARA IDADE ÓSSEA,DR,Requested Procedure ID,Mapear body part/procedure no AWS
TE-018,BRAÇO,DR,Requested Procedure ID,Mapear body part/procedure no AWS
TE-019,CALCÃNEO,DR,Requested Procedure ID,Mapear body part/procedure no AWS
TE-020,CAVUM,DR,Requested Procedure ID,Mapear body part/procedure no AWS
TE-021,CLAVÍCULA,DR,Requested Procedure ID,Mapear body part/procedure no AWS
TE-022,CÓCCIX,DR,Requested Procedure ID,Mapear body part/procedure no AWS
TE-023,COLUNA CERVICAL,DR,Requested Procedure ID,Mapear body part/procedure no AWS
