app,categorias,nome,url,recurso_menu,recurso_herdado,restricao
riob,Dashboard,Custo do produto,/apps/riob#custoProdutoDashboard,menu:c90e453111f9eaea3f98af5e,custo_produto_dashboard,individual
riob,Dashboard,RioB - Fretes,/apps/riob#dashboard,menu:cbeea23572deac751ded76e5,dashboard,individual
riob,Dashboard,Frota,/apps/riob#dashboard:frota,menu:366c98f7534ba9cbd4508c29,frota,individual
riob,Dashboard,Estoque,/apps/riob#dashboard:estoque,menu:21f5be6919ebcc21a3a52794,estoque,individual
riob,Dashboard,Processos operacionais,/apps/riob#dashboard:processos,menu:fa4a4dab0dfb836cbd9af372,processos,individual
riob,Dashboard,Compras,/apps/riob#dashboard:compras,menu:21032090ac812f15f4c3459a,compras,individual
riob,Dashboard,Vendas anual,/apps/riob#dashboard:vendas_anual,menu:eecc25ee1acbb4df4c2a70ec,vendas,individual
riob,Dashboard,Vendas do dia,/apps/riob#dashboard:vendas_diario,menu:82f697cd63a28767eabf7822,vendas,individual
riob,Dashboard,Bonificacoes de vendas,/apps/riob#dashboard:bonificacoes,menu:ef2fca0eec1e5fbd86e730c6,vendas,individual
riob,Dashboard,Variacao de preco,/apps/riob#dashboard:variacao_preco,menu:8f9bf130adedc45ac1a062df,vendas,individual
riob,Dashboard,Grupos de embalagem,/apps/riob#dashboard:grupos_embalagem,menu:b3f60d39903c8db380fd3272,vendas,individual
riob,Dashboard,Comissoes de vendas,/apps/riob#dashboard:comissoes,menu:9fe3b52d188391e1f7326c85,comissao,individual
riob,Cadastro,Colaboradores RioB,/apps/riob#cadastros:colaboradores,menu:7b40bcdfdc56c8126595d7e5,colaboradores,individual
riob,Cadastro,Veiculos RioB,/apps/riob#cadastros:veiculos,menu:01d5837b66e30f12e5614c23,veiculos,individual
riob,Cadastro,Comissoes,/apps/riob#cadastros:comissao,menu:f948e71ccc9cfd9e776dfa0b,comissao,individual
riob,Cadastro,Cadastrar produtos RioB,/apps/riob#cadastros:estoque_produtos,menu:459d1dd0dfec145501c92f11,estoque,individual
riob,Cadastro,Grupos de estoque RioB,/apps/riob#cadastros:estoque_grupos,menu:c5de8255f4360285b67a2505,estoque,individual
riob,Cadastro,Tipos de processos RioB,/apps/riob#cadastros:processos_tipos,menu:eb35042a6a871915a97da68e,processos,individual
riob,Cadastro,Fornecedores e compras RioB,/apps/riob#cadastros:compras_fornecedores,menu:5b07c0b1f255196bf8f9368d,compras,individual
riob,Cadastro,Cargas RioB,/apps/riob#gestaofrota:cargas,menu:1b53a20822248f3f5ade1c2e,cargas,individual
riob,Cadastro,Escala RioB,/apps/riob#gestaofrota:escala,menu:90c1e424d054e0fe7294534a,escala,individual
riob,Cadastro,Pontos de venda,/apps/riob#vendas:pontosvenda,menu:bbb08e534e7a7fc48f4eb251,pontos_venda,individual
riob,Relatorios,Vendas,/apps/riob#vendas:relatorio,menu:faab8ba794e431d6b9d7a752,vendas,individual
riob,Relatorios,Orcamentos gerados,/apps/riob#relatorios:orcamentos,menu:bc150f32f7524519e0442dac,vendas_orcamentos_relatorio,individual
riob,Relatorios,Estoque comprometido,/apps/riob#relatorios:estoque_comprometido,menu:e5f7d8e92544ad82a55d08de,estoque,individual
riob,Relatorios,Processos operacionais,/apps/riob#relatorios:processos,menu:69a479f4a3c2fa0ae4eedfaa,processos,individual
riob,Relatorios,Comissoes,/apps/riob#comissao:relatorios,menu:17c056452d531cfff1de9e8e,comissao,individual
riob,Relatorios,Frota,/apps/riob#gestaofrota:relatorios,menu:9b11b1e65013592f9dd34d2e,frota,individual
riob,Relatorios,"Contagens, desperdicio e sobras",/apps/riob#relatorios:contagens,menu:fd516554088fd339ce500c55,estoque_contagem_relatorio,individual
riob,Relatorios,Compras RioB,/apps/riob#relatorios:compras,menu:7c7c0b7f5547b81766340f1c,compras,individual
riob,Relatorios,Vendas Anual RioB,/apps/riob#vendas:relatorio_anual,menu:724b3ed2539d35a7d98da86a,vendas,individual
